,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
56,8,2.0,0.2448636999999998,"[0, 2, 2, 0, 1, 2, 1, 3, 1, 3, 3, 0, 0, 1, 2, 3, 0, 1, 0, 0]",150,0.2,2048
57,16,2.0,0.4184357999999997,"[0, 2, 2, 0, 1, 2, 1, 3, 1, 3, 3, 0, 0, 1, 2, 3, 0, 1, 0, 0]",150,0.2,2048
58,32,1.0,0.6849135999999998,"[0, 3, 1, 0, 2, 2, 2, 3, 1, 2, 1, 0, 0, 3, 3, 3, 0, 1, 3, 0]",150,0.2,2048
59,64,1.0,1.2841418,"[0, 3, 1, 0, 2, 2, 2, 3, 1, 2, 1, 0, 0, 3, 3, 3, 0, 1, 3, 0]",150,0.2,2048
60,128,1.0,2.3689904,"[0, 3, 1, 0, 2, 2, 2, 3, 1, 2, 1, 0, 0, 3, 3, 3, 0, 1, 3, 0]",150,0.2,2048
61,256,1.0,4.077977499999999,"[0, 3, 1, 0, 2, 2, 2, 3, 1, 2, 1, 0, 0, 3, 3, 3, 0, 1, 3, 0]",150,0.2,2048
62,512,1.0,4.077977499999999,"[0, 3, 1, 0, 2, 2, 2, 3, 1, 2, 1, 0, 0, 3, 3, 3, 0, 1, 3, 0]",150,0.2,2048
63,1024,1.0,4.077977499999999,"[0, 3, 1, 0, 2, 2, 2, 3, 1, 2, 1, 0, 0, 3, 3, 3, 0, 1, 3, 0]",150,0.2,2048
64,2048,1.0,4.077977499999999,"[0, 3, 1, 0, 2, 2, 2, 3, 1, 2, 1, 0, 0, 3, 3, 3, 0, 1, 3, 0]",150,0.2,2048
65,0,15.0,0.01200550000000078,"[0, 2, 1, 0, 3, 0, 3, 3, 3, 2, 0, 1, 1, 1, 0, 0, 3, 3, 0, 3]",150,0.3,2048
66,1,3.0,0.03884380000000043,"[0, 2, 1, 0, 0, 2, 2, 3, 1, 3, 3, 0, 0, 3, 2, 3, 0, 1, 3, 0]",150,0.3,2048
67,2,3.0,0.07528540000000028,"[0, 2, 1, 0, 0, 2, 2, 3, 1, 3, 3, 0, 0, 3, 2, 3, 0, 1, 3, 0]",150,0.3,2048
68,4,2.0,0.14876730000000027,"[0, 2, 1, 0, 1, 2, 2, 3, 1, 3, 3, 0, 0, 1, 3, 3, 0, 1, 3, 0]",150,0.3,2048
69,8,2.0,0.2675669000000003,"[0, 2, 1, 0, 1, 2, 2, 3, 1, 3, 3, 0, 0, 1, 3, 3, 0, 1, 3, 0]",150,0.3,2048
70,16,1.0,0.4859383000000008,"[0, 2, 1, 0, 2, 2, 2, 3, 2, 3, 3, 0, 0, 3, 2, 3, 0, 1, 1, 0]",150,0.3,2048
71,32,1.0,0.8261457000000005,"[0, 2, 1, 0, 2, 2, 2, 3, 2, 3, 3, 0, 0, 3, 2, 3, 0, 1, 1, 0]",150,0.3,2048
72,64,1.0,1.483073,"[0, 2, 1, 0, 2, 2, 2, 3, 2, 3, 3, 0, 0, 3, 2, 3, 0, 1, 1, 0]",150,0.3,2048
73,128,1.0,2.655359400000001,"[0, 2, 1, 0, 2, 2, 2, 3, 2, 3, 3, 0, 0, 3, 2, 3, 0, 1, 1, 0]",150,0.3,2048
74,256,0.0,3.029403600000001,"[0, 2, 1, 0, 2, 3, 2, 3, 1, 3, 3, 0, 0, 2, 1, 1, 0, 1, 0, 0]",150,0.3,2048
75,512,0.0,3.029403600000001,"[0, 2, 1, 0, 2, 3, 2, 3, 1, 3, 3, 0, 0, 2, 1, 1, 0, 1, 0, 0]",150,0.3,2048
76,1024,0.0,3.029403600000001,"[0, 2, 1, 0, 2, 3, 2, 3, 1, 3, 3, 0, 0, 2, 1, 1, 0, 1, 0, 0]",150,0.3,2048
77,2048,0.0,3.029403600000001,"[0, 2, 1, 0, 2, 3, 2, 3, 1, 3, 3, 0, 0, 2, 1, 1, 0, 1, 0, 0]",150,0.3,2048
78,0,15.0,0.009277700000000166,"[0, 2, 1, 0, 3, 0, 3, 3, 3, 2, 0, 1, 1, 1, 0, 0, 3, 3, 0, 3]",150,0.4,2048
79,1,5.0,0.04316220000000115,"[0, 2, 0, 0, 1, 1, 1, 3, 3, 2, 1, 3, 1, 2, 1, 3, 0, 3, 0, 0]",150,0.4,2048
80,2,4.0,0.08580640000000095,"[1, 3, 1, 3, 2, 2, 2, 3, 2, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 3]",150,0.4,2048
81,4,3.0,0.14880720000000025,"[0, 1, 0, 1, 1, 3, 3, 1, 0, 3, 2, 2, 2, 3, 3, 2, 1, 2, 0, 0]",150,0.4,2048
82,8,2.0,0.2718700000000016,"[3, 3, 0, 3, 2, 2, 2, 3, 2, 2, 0, 0, 0, 1, 0, 0, 3, 1, 3, 3]",150,0.4,2048
83,16,2.0,0.4247879000000001,"[3, 3, 0, 3, 2, 2, 2, 3, 2, 2, 0, 0, 0, 1, 0, 0, 3, 1, 3, 3]",150,0.4,2048
84,32,0.0,0.5691659000000016,"[0, 3, 0, 3, 2, 2, 2, 3, 1, 2, 1, 0, 3, 1, 1, 0, 3, 1, 3, 3]",150,0.4,2048
85,64,0.0,0.5691659000000016,"[0, 3, 0, 3, 2, 2, 2, 3, 1, 2, 1, 0, 3, 1, 1, 0, 3, 1, 3, 3]",150,0.4,2048
86,128,0.0,0.5691659000000016,"[0, 3, 0, 3, 2, 2, 2, 3, 1, 2, 1, 0, 3, 1, 1, 0, 3, 1, 3, 3]",150,0.4,2048
87,256,0.0,0.5691659000000016,"[0, 3, 0, 3, 2, 2, 2, 3, 1, 2, 1, 0, 3, 1, 1, 0, 3, 1, 3, 3]",150,0.4,2048
88,512,0.0,0.5691659000000016,"[0, 3, 0, 3, 2, 2, 2, 3, 1, 2, 1, 0, 3, 1, 1, 0, 3, 1, 3, 3]",150,0.4,2048
89,1024,0.0,0.5691659000000016,"[0, 3, 0, 3, 2, 2, 2, 3, 1, 2, 1, 0, 3, 1, 1, 0, 3, 1, 3, 3]",150,0.4,2048
90,2048,0.0,0.5691659000000016,"[0, 3, 0, 3, 2, 2, 2, 3, 1, 2, 1, 0, 3, 1, 1, 0, 3, 1, 3, 3]",150,0.4,2048
91,0,15.0,0.01287469999999935,"[0, 2, 1, 0, 3, 0, 3, 3, 3, 2, 0, 1, 1, 1, 0, 0, 3, 3, 0, 3]",200,0.01,2048
92,1,5.0,0.048163199999999406,"[3, 3, 3, 3, 2, 1, 2, 1, 0, 3, 0, 3, 2, 2, 1, 3, 3, 0, 3, 1]",200,0.01,2048
93,2,5.0,0.09040970000000037,"[3, 3, 3, 3, 2, 1, 2, 1, 0, 3, 0, 3, 2, 2, 1, 3, 3, 0, 3, 1]",200,0.01,2048
94,4,4.0,0.17128920000000036,"[1, 0, 2, 1, 0, 0, 2, 0, 3, 2, 3, 3, 3, 3, 0, 2, 1, 3, 2, 0]",200,0.01,2048
95,8,2.0,0.3131208999999995,"[3, 2, 3, 3, 0, 0, 0, 2, 2, 3, 1, 3, 1, 1, 1, 3, 2, 1, 1, 2]",200,0.01,2048
96,16,0.0,0.5187396,"[3, 0, 2, 0, 0, 0, 1, 0, 2, 1, 3, 3, 3, 1, 0, 3, 3, 3, 1, 2]",200,0.01,2048
97,32,0.0,0.5187396,"[3, 0, 2, 0, 0, 0, 1, 0, 2, 1, 3, 3, 3, 1, 0, 3, 3, 3, 1, 2]",200,0.01,2048
98,64,0.0,0.5187396,"[3, 0, 2, 0, 0, 0, 1, 0, 2, 1, 3, 3, 3, 1, 0, 3, 3, 3, 1, 2]",200,0.01,2048
99,128,0.0,0.5187396,"[3, 0, 2, 0, 0, 0, 1, 0, 2, 1, 3, 3, 3, 1, 0, 3, 3, 3, 1, 2]",200,0.01,2048
100,256,0.0,0.5187396,"[3, 0, 2, 0, 0, 0, 1, 0, 2, 1, 3, 3, 3, 1, 0, 3, 3, 3, 1, 2]",200,0.01,2048
101,512,0.0,0.5187396,"[3, 0, 2, 0, 0, 0, 1, 0, 2, 1, 3, 3, 3, 1, 0, 3, 3, 3, 1, 2]",200,0.01,2048
