,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
194,194,1.9210503,18.0,150,0.02,2048
195,195,1.9290983000000002,18.0,150,0.02,2048
196,196,1.9369418999999999,18.0,150,0.02,2048
197,197,1.9449147,18.0,150,0.02,2048
198,198,1.9526306999999998,18.0,150,0.02,2048
199,199,1.9609681,18.0,150,0.02,2048
200,200,1.9703165999999999,18.0,150,0.02,2048
201,201,1.9793431,18.0,150,0.02,2048
202,202,1.9934911,18.0,150,0.02,2048
203,203,2.0077878,18.0,150,0.02,2048
204,204,2.0199442,18.0,150,0.02,2048
205,205,2.0322554,18.0,150,0.02,2048
206,206,2.0445331,18.0,150,0.02,2048
207,207,2.0546013,18.0,150,0.02,2048
208,208,2.0640619,18.0,150,0.02,2048
209,209,2.0721777,18.0,150,0.02,2048
210,210,2.0815501,18.0,150,0.02,2048
211,211,2.0899824000000002,18.0,150,0.02,2048
212,212,2.0988149000000003,18.0,150,0.02,2048
213,213,2.1076191,18.0,150,0.02,2048
214,214,2.1163365,18.0,150,0.02,2048
215,215,2.1319093000000002,18.0,150,0.02,2048
216,216,2.1462116,15.0,150,0.03,2048
217,217,2.160317,15.0,150,0.03,2048
218,218,0.0003967000000000276,17.0,150,0.03,2048
219,219,0.012788000000000022,17.0,150,0.03,2048
220,220,0.04157389999999994,17.0,150,0.03,2048
221,221,0.06600189999999984,17.0,150,0.03,2048
222,222,0.07452330000000007,17.0,150,0.03,2048
223,223,0.09710680000000016,18.0,150,0.03,2048
224,224,0.1060348000000002,18.0,150,0.03,2048
225,225,0.11508949999999984,18.0,150,0.03,2048
226,226,0.12779600000000002,18.0,150,0.03,2048
227,227,0.1643870999999999,18.0,150,0.03,2048
228,228,0.1768727000000001,19.0,150,0.03,2048
229,229,0.1891778999999998,15.0,150,0.1,2048
230,230,0.20265500000000003,15.0,150,0.1,2048
231,231,0.21090769999999992,15.0,150,0.1,2048
232,232,0.0003115000000000201,16.0,150,0.1,2048
233,233,0.009726000000000123,17.0,150,0.1,2048
234,234,0.029311800000000332,17.0,150,0.1,2048
235,235,0.050235699999999994,17.0,150,0.1,2048
236,236,0.06390200000000013,18.0,150,0.1,2048
237,237,0.09130539999999998,18.0,150,0.1,2048
238,238,0.10434520000000003,18.0,150,0.1,2048
239,239,0.11719570000000035,18.0,150,0.1,2048
240,240,0.13023110000000004,18.0,150,0.1,2048
241,241,0.15908000000000033,18.0,150,0.1,2048
242,242,0.17194940000000036,18.0,150,0.1,2048
243,243,0.1841769000000002,18.0,150,0.1,2048
244,244,0.1964495000000004,18.0,150,0.1,2048
245,245,0.2086450000000002,18.0,150,0.1,2048
246,246,0.22079340000000025,18.0,150,0.1,2048
247,247,0.23365550000000024,18.0,150,0.1,2048
248,248,0.24660480000000007,18.0,150,0.1,2048
249,249,0.26899660000000036,18.0,150,0.1,2048
250,250,0.2791878000000003,18.0,150,0.1,2048
251,251,0.29218730000000015,18.0,150,0.1,2048
252,252,0.30338980000000015,18.0,150,0.1,2048
253,253,0.3116486000000003,18.0,150,0.1,2048
254,254,0.3197782,18.0,150,0.1,2048
255,255,0.32796020000000015,18.0,150,0.1,2048
256,256,0.33618060000000005,18.0,150,0.1,2048
257,257,0.34426210000000035,18.0,150,0.1,2048
258,258,0.3525514000000003,18.0,150,0.1,2048
259,259,0.3610591000000003,18.0,150,0.1,2048
260,260,0.3705883000000001,18.0,150,0.1,2048
261,261,0.3795915000000001,18.0,150,0.1,2048
262,262,0.3892836000000002,18.0,150,0.1,2048
263,263,0.39864080000000035,18.0,150,0.1,2048
264,264,0.4072084,18.0,150,0.1,2048
265,265,0.4279014000000001,18.0,150,0.1,2048
266,266,0.43626470000000017,18.0,150,0.1,2048
267,267,0.4447839,18.0,150,0.1,2048
268,268,0.4541263,18.0,150,0.1,2048
269,269,0.4671228000000003,18.0,150,0.1,2048
270,270,0.4798504000000001,18.0,150,0.1,2048
271,271,0.4930042000000001,18.0,150,0.1,2048
272,272,0.5021306000000001,18.0,150,0.1,2048
273,273,0.5100877000000001,18.0,150,0.1,2048
274,274,0.5180884000000003,18.0,150,0.1,2048
275,275,0.5261688000000002,18.0,150,0.1,2048
276,276,0.5341575000000001,18.0,150,0.1,2048
277,277,0.5420533000000001,18.0,150,0.1,2048
278,278,0.5511757000000004,18.0,150,0.1,2048
279,279,0.5596840000000003,18.0,150,0.1,2048
280,280,0.5681762000000004,18.0,150,0.1,2048
281,281,0.5775874000000001,18.0,150,0.1,2048
282,282,0.5858380000000003,18.0,150,0.1,2048
283,283,0.5952843000000003,18.0,150,0.1,2048
284,284,0.6035735,18.0,150,0.1,2048
285,285,0.6148542000000004,18.0,150,0.1,2048
286,286,0.6278130000000002,18.0,150,0.1,2048
287,287,0.6386081000000003,18.0,150,0.1,2048
288,288,0.6470906000000003,18.0,150,0.1,2048
289,289,0.6616426,18.0,150,0.1,2048
290,290,0.6821383000000001,18.0,150,0.1,2048
291,291,0.6960253000000001,18.0,150,0.1,2048
292,292,0.7088189000000003,18.0,150,0.1,2048
293,293,0.7230152000000003,18.0,150,0.1,2048
294,294,0.7368763,18.0,150,0.1,2048
295,295,0.7493139000000002,18.0,150,0.1,2048
296,296,0.7625912000000001,18.0,150,0.1,2048
297,297,0.7899920000000002,18.0,150,0.1,2048
298,298,0.7989109000000001,18.0,150,0.1,2048
299,299,0.8073979000000002,18.0,150,0.1,2048
300,300,0.8165963,18.0,150,0.1,2048
301,301,0.8246644000000001,18.0,150,0.1,2048
302,302,0.8363677000000003,18.0,150,0.1,2048
303,303,0.8487495000000003,18.0,150,0.1,2048
304,304,0.8619775000000001,18.0,150,0.1,2048
305,305,0.8742360000000002,18.0,150,0.1,2048
306,306,0.8849048000000002,18.0,150,0.1,2048
307,307,0.8931401000000001,18.0,150,0.1,2048
308,308,0.9015475000000004,18.0,150,0.1,2048
309,309,0.9113961000000002,18.0,150,0.1,2048
310,310,0.9237971000000003,18.0,150,0.1,2048
311,311,0.9364540000000003,18.0,150,0.1,2048
312,312,0.9489925000000001,18.0,150,0.1,2048
313,313,0.9645316000000004,18.0,150,0.1,2048
314,314,0.9757022000000002,18.0,150,0.1,2048
315,315,0.9838697000000001,18.0,150,0.1,2048
316,316,0.992102,18.0,150,0.1,2048
317,317,1.0004058000000002,18.0,150,0.1,2048
318,318,1.0087596000000003,18.0,150,0.1,2048
319,319,1.0169883,18.0,150,0.1,2048
320,320,1.0250503000000002,18.0,150,0.1,2048
321,321,1.033106,18.0,150,0.1,2048
322,322,1.0412975000000002,18.0,150,0.1,2048
323,323,1.0491544000000004,18.0,150,0.1,2048
324,324,1.0571520000000003,18.0,150,0.1,2048
325,325,1.0653010000000003,18.0,150,0.1,2048
326,326,1.0732662000000004,18.0,150,0.1,2048
327,327,1.081503,18.0,150,0.1,2048
328,328,1.0902244000000003,18.0,150,0.1,2048
329,329,1.1024834000000001,18.0,150,0.1,2048
330,330,1.1145863,18.0,150,0.1,2048
331,331,1.1277288000000003,18.0,150,0.1,2048
332,332,1.1408383,18.0,150,0.1,2048
333,333,1.1540306,18.0,150,0.1,2048
334,334,1.1670852000000003,18.0,150,0.1,2048
335,335,1.1761227,18.0,150,0.1,2048
336,336,1.1842446,18.0,150,0.1,2048
337,337,1.1928614,18.0,150,0.1,2048
338,338,1.2016635,18.0,150,0.1,2048
339,339,1.2141119000000002,18.0,150,0.1,2048
340,340,1.2224291000000003,18.0,150,0.1,2048
341,341,1.2317905000000002,18.0,150,0.1,2048
342,342,1.2402561000000003,18.0,150,0.1,2048
343,343,1.2485122,18.0,150,0.1,2048
344,344,1.2568194000000004,18.0,150,0.1,2048
345,345,1.2652752,18.0,150,0.1,2048
346,346,1.2734931,18.0,150,0.1,2048
347,347,1.2814817,18.0,150,0.1,2048
348,348,1.2904987,18.0,150,0.1,2048
349,349,1.2992638000000003,18.0,150,0.1,2048
350,350,1.308071,18.0,150,0.1,2048
351,351,1.3161642000000002,18.0,150,0.1,2048
352,352,1.3245147000000004,18.0,150,0.1,2048
353,353,1.3326824000000004,18.0,150,0.1,2048
354,354,1.3411244,18.0,150,0.1,2048
355,355,1.3500237000000004,18.0,150,0.1,2048
356,356,1.3584072000000003,18.0,150,0.1,2048
357,357,1.3668745000000002,18.0,150,0.1,2048
358,358,1.3749580000000003,18.0,150,0.1,2048
359,359,1.3831264,18.0,150,0.1,2048
360,360,1.3915267,18.0,150,0.1,2048
361,361,1.4208349,18.0,150,0.1,2048
362,362,1.4309365,18.0,150,0.1,2048
363,363,1.4408602000000004,18.0,150,0.1,2048
364,364,1.4505306,18.0,150,0.1,2048
365,365,1.4605864000000004,18.0,150,0.1,2048
366,366,1.4717275,18.0,150,0.1,2048
367,367,1.4815351000000003,18.0,150,0.1,2048
368,368,1.4903136999999997,18.0,150,0.1,2048
369,369,1.4987057999999998,18.0,150,0.1,2048
370,370,1.5073869000000002,18.0,150,0.1,2048
371,371,1.5202375000000004,18.0,150,0.1,2048
372,372,1.5334257000000004,18.0,150,0.1,2048
373,373,1.5437005,18.0,150,0.1,2048
374,374,1.5518486000000005,18.0,150,0.1,2048
375,375,1.5603259999999999,18.0,150,0.1,2048
376,376,1.5685297,18.0,150,0.1,2048
377,377,1.5765970000000005,18.0,150,0.1,2048
378,378,1.5850417000000006,18.0,150,0.1,2048
379,379,1.593871,18.0,150,0.1,2048
380,380,1.6069452000000002,18.0,150,0.1,2048
381,381,1.6197827,18.0,150,0.1,2048
382,382,1.6329409999999998,18.0,150,0.1,2048
383,383,1.6470529000000003,18.0,150,0.1,2048
384,384,1.6599608000000003,18.0,150,0.1,2048
385,385,1.6725158000000002,18.0,150,0.1,2048
386,386,1.6848106000000005,18.0,150,0.1,2048
387,387,1.6972898,18.0,150,0.1,2048
388,388,1.7100794000000006,18.0,150,0.1,2048
389,389,1.7229089000000002,18.0,150,0.1,2048
390,390,1.7340287000000005,18.0,150,0.1,2048
391,391,1.7467965000000003,18.0,150,0.1,2048
392,392,1.7598104,18.0,150,0.1,2048
393,393,1.7700944000000005,18.0,150,0.1,2048
394,394,1.7782654999999998,18.0,150,0.1,2048
395,395,1.7866866000000003,18.0,150,0.1,2048
396,396,1.7948902000000002,18.0,150,0.1,2048
397,397,1.807048,18.0,150,0.1,2048
398,398,1.8198236000000003,18.0,150,0.1,2048
399,399,1.8327684,18.0,150,0.1,2048
400,400,1.8459960999999998,18.0,150,0.1,2048
401,401,1.8589547,18.0,150,0.1,2048
402,402,1.8717177999999999,18.0,150,0.1,2048
403,403,1.8810070000000003,18.0,150,0.1,2048
404,404,1.8892691,18.0,150,0.1,2048
405,405,1.8974780999999998,18.0,150,0.1,2048
406,406,1.9070046999999999,18.0,150,0.1,2048
407,407,1.9193379999999998,18.0,150,0.1,2048
408,408,1.9317400999999998,18.0,150,0.1,2048
409,409,1.9447299000000005,18.0,150,0.1,2048
410,410,1.9572621000000003,18.0,150,0.1,2048
411,411,1.9696818,18.0,150,0.1,2048
412,412,1.9818141000000002,18.0,150,0.1,2048
413,413,1.9923193000000001,18.0,150,0.1,2048
414,414,2.0012968000000004,18.0,150,0.1,2048
415,415,2.0101018,18.0,150,0.1,2048
416,416,2.0185662000000004,18.0,150,0.1,2048
417,417,2.0278764000000002,18.0,150,0.1,2048
418,418,2.0359688,18.0,150,0.1,2048
419,419,2.0440049,18.0,150,0.1,2048
420,420,2.0526917000000005,18.0,150,0.1,2048
421,421,2.0607021000000003,18.0,150,0.1,2048
422,422,2.0688889,18.0,150,0.1,2048
423,423,2.0768761,18.0,150,0.1,2048
424,424,2.0851981000000004,18.0,150,0.1,2048
425,425,2.0949885999999998,18.0,150,0.1,2048
426,426,2.1039488000000004,18.0,150,0.1,2048
427,427,2.1131361,18.0,150,0.1,2048
428,428,2.1246215,18.0,150,0.1,2048
429,429,2.1380240000000006,18.0,150,0.1,2048
