,Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
10,512,266.0,48.73962639999999,"[2.0, 4.0, 3.0, 3.0, 0.0, 1.0, 2.0, 4.0, 3.0, 4.0, 4.0, 2.0, 3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 2.0, 0.0]",False,150,0.01,2048
11,1024,266.0,48.73962639999999,"[2.0, 4.0, 3.0, 3.0, 0.0, 1.0, 2.0, 4.0, 3.0, 4.0, 4.0, 2.0, 3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 2.0, 0.0]",False,150,0.01,2048
12,2048,266.0,48.73962639999999,"[2.0, 4.0, 3.0, 3.0, 0.0, 1.0, 2.0, 4.0, 3.0, 4.0, 4.0, 2.0, 3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 2.0, 0.0]",False,150,0.01,2048
13,0,157.0,0.009676299999966886,"[4, 0, 3, 4, 3, 0, 1, 0, 0, 3, 4, 3, 2, 0, 1, 0, 2, 3, 1, 1]",False,150,0.02,2048
14,1,266.0,0.24661279999997987,"[2.0, 4.0, 3.0, 3.0, 0.0, 1.0, 2.0, 4.0, 3.0, 4.0, 4.0, 2.0, 3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 2.0, 0.0]",False,150,0.02,2048
15,2,266.0,0.4706127999999694,"[2.0, 4.0, 3.0, 3.0, 0.0, 1.0, 2.0, 4.0, 3.0, 4.0, 4.0, 2.0, 3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 2.0, 0.0]",False,150,0.02,2048
16,4,266.0,0.98177179999999,"[2.0, 4.0, 3.0, 3.0, 0.0, 1.0, 2.0, 4.0, 3.0, 4.0, 4.0, 2.0, 3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 2.0, 0.0]",False,150,0.02,2048
17,8,266.0,1.8979337999999757,"[2.0, 4.0, 3.0, 3.0, 0.0, 1.0, 2.0, 4.0, 3.0, 4.0, 4.0, 2.0, 3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 2.0, 0.0]",False,150,0.02,2048
18,16,266.0,3.722235699999999,"[2.0, 4.0, 3.0, 3.0, 0.0, 1.0, 2.0, 4.0, 3.0, 4.0, 4.0, 2.0, 3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 2.0, 0.0]",False,150,0.02,2048
19,32,266.0,7.58917120000001,"[2.0, 4.0, 3.0, 3.0, 0.0, 1.0, 2.0, 4.0, 3.0, 4.0, 4.0, 2.0, 3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 2.0, 0.0]",False,150,0.02,2048
20,64,266.0,15.62689869999997,"[2.0, 4.0, 3.0, 3.0, 0.0, 1.0, 2.0, 4.0, 3.0, 4.0, 4.0, 2.0, 3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 2.0, 0.0]",False,150,0.02,2048
21,128,266.0,30.735258899999963,"[2.0, 4.0, 3.0, 3.0, 0.0, 1.0, 2.0, 4.0, 3.0, 4.0, 4.0, 2.0, 3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 2.0, 0.0]",False,150,0.02,2048
22,256,266.0,47.74562279999998,"[2.0, 4.0, 3.0, 3.0, 0.0, 1.0, 2.0, 4.0, 3.0, 4.0, 4.0, 2.0, 3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 2.0, 0.0]",False,150,0.02,2048
23,512,266.0,47.74562279999998,"[2.0, 4.0, 3.0, 3.0, 0.0, 1.0, 2.0, 4.0, 3.0, 4.0, 4.0, 2.0, 3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 2.0, 0.0]",False,150,0.02,2048
24,1024,266.0,47.74562279999998,"[2.0, 4.0, 3.0, 3.0, 0.0, 1.0, 2.0, 4.0, 3.0, 4.0, 4.0, 2.0, 3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 2.0, 0.0]",False,150,0.02,2048
