,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
88,88,54.12539529999981,3840.066351086639,False,300,0.2,2048
89,89,54.70905629999993,3840.066351086639,False,300,0.2,2048
90,90,55.35486609999998,3840.066351086639,False,300,0.2,2048
91,91,56.028508199999806,3840.066351086639,False,300,0.2,2048
92,92,56.62543949999986,3840.066351086639,False,300,0.2,2048
93,93,57.23627139999985,3840.066351086639,False,300,0.2,2048
94,94,57.82844179999984,3840.066351086639,False,300,0.2,2048
95,95,58.43343709999999,3840.066351086639,False,300,0.2,2048
96,96,59.04888239999991,3840.066351086639,False,300,0.2,2048
97,97,59.638033999999834,3840.066351086639,False,300,0.2,2048
98,98,60.22513599999979,3840.066351086639,False,300,0.2,2048
99,99,60.86168559999987,3840.066351086639,False,300,0.2,2048
100,100,61.465146099999856,3840.066351086639,False,300,0.2,2048
